1,United States,46,37,38,121,2016
2,China,26,18,26,70,2016
3,Great Britain,27,23,17,67,2016
4,Russia,19,17,20,56,2016
5,Germany,17,10,15,42,2016
6,France,10,18,14,42,2016
7,Japan,12,8,21,41,2016
8,Australia,8,11,10,29,2016
9,Italy,8,12,8,28,2016
10,Canada,4,3,15,22,2016
11,South Korea,9,3,9,21,2016
12,Netherlands,8,7,4,19,2016
13,Brazil,7,6,6,19,2016
14,New Zealand,4,9,5,18,2016
15,Kazakhstan,3,5,10,18,2016
16,Azerbaijan,1,7,10,18,2016
17,Spain,7,4,6,17,2016
18,Hungary,8,3,4,15,2016
19,Denmark,2,6,7,15,2016
20,Kenya,6,6,1,13,2016
21,Uzbekistan,4,2,7,13,2016
22,Jamaica,6,3,2,11,2016
23,Cuba,5,2,4,11,2016
24,Sweden,2,6,3,11,2016
25,Ukraine,2,5,4,11,2016
26,Poland,2,3,6,11,2016
27,Croatia,5,3,2,10,2016
28,South Africa,2,6,2,10,2016
29,Czech Republic,1,2,7,10,2016
30,Belarus,1,4,4,9,2016
31,Colombia,3,2,3,8,2016
32,Iran,3,1,4,8,2016
33,Serbia,2,4,2,8,2016
34,Turkey,1,3,4,8,2016
35,Ethiopia,1,2,5,8,2016
36,Switzerland,3,2,2,7,2016
37,North Korea,2,3,2,7,2016
38,Georgia,2,1,4,7,2016
39,Greece,3,1,2,6,2016
40,Belgium,2,2,2,6,2016
41,Thailand,2,2,2,6,2016
42,Malaysia,0,4,1,5,2016
43,Mexico,0,3,2,5,2016
44,Argentina,3,1,0,4,2016
45,Slovakia,2,2,0,4,2016
46,Armenia,1,3,0,4,2016
47,Slovenia,1,2,1,4,2016
48,Romania,1,1,2,4,2016
49,Lithuania,0,1,3,4,2016
50,Norway,0,0,4,4,2016
51,Indonesia,1,2,0,3,2016
52,Chinese Taipei,1,0,2,3,2016
53,Venezuela,0,1,2,3,2016
54,Bulgaria,0,1,2,3,2016
55,Tunisia,0,0,3,3,2016
56,Egypt,0,0,3,3,2016
57,Bahrain,1,1,0,2,2016
58,Vietnam,1,1,0,2,2016
59,Bahamas,1,0,1,2,2016
60,Individual Olympic Athletes,1,0,1,2,2016
61,Cote d'Ivoire,1,0,1,2,2016
62,Ireland,0,2,0,2,2016
63,Algeria,0,2,0,2,2016
64,India,0,1,1,2,2016
65,Mongolia,0,1,1,2,2016
66,Israel,0,0,2,2,2016
67,Jordan,1,0,0,1,2016
68,Puerto Rico,1,0,0,1,2016
69,Kosovo,1,0,0,1,2016
70,Singapore,1,0,0,1,2016
71,Fiji,1,0,0,1,2016
72,Tajikistan,1,0,0,1,2016
73,Niger,0,1,0,1,2016
74,Philippines,0,1,0,1,2016
75,Grenada,0,1,0,1,2016
76,Qatar,0,1,0,1,2016
77,Burundi,0,1,0,1,2016
78,United Arab Emirates,0,0,1,1,2016
79,Portugal,0,0,1,1,2016
80,Austria,0,0,1,1,2016
81,Morocco,0,0,1,1,2016
82,Finland,0,0,1,1,2016
83,Trinidad and Tobago,0,0,1,1,2016
84,Nigeria,0,0,1,1,2016
85,Dominican Republic,0,0,1,1,2016
86,Estonia,0,0,1,1,2016
1,United States,46,28,29,103,2012
2,China,38,27,23,88,2012
3,Russia,24,26,32,82,2012
4,Great Britain,29,17,19,65,2012
5,Germany,11,19,14,44,2012
6,Japan,7,14,17,38,2012
7,France,11,11,13,35,2012
8,Australia,7,16,12,35,2012
9,South Korea,13,8,7,28,2012
10,Italy,8,9,11,28,2012
11,Netherlands,6,6,8,20,2012
12,Ukraine,6,5,9,20,2012
13,Hungary,8,4,6,18,2012
14,Canada,1,5,12,18,2012
15,Spain,3,10,4,17,2012
16,Brazil,3,5,9,17,2012
17,Cuba,5,3,6,14,2012
18,Kazakhstan,7,1,5,13,2012
19,New Zealand,6,2,5,13,2012
20,Iran,4,5,3,12,2012
21,Jamaica,4,4,4,12,2012
22,Belarus,2,5,5,12,2012
23,Kenya,2,4,5,11,2012
24,Czech Republic,4,3,3,10,2012
25,Poland,2,2,6,10,2012
26,Azerbaijan,2,2,6,10,2012
27,Romania,2,5,2,9,2012
28,Denmark,2,4,3,9,2012
29,Sweden,1,4,3,8,2012
30,Colombia,1,3,4,8,2012
31,Ethiopia,3,1,3,7,2012
32,Mexico,1,3,3,7,2012
33,Georgia,1,3,3,7,2012
34,North Korea,4,0,2,6,2012
35,South Africa,3,2,1,6,2012
36,Croatia,3,1,2,6,2012
37,India,0,2,4,6,2012
38,Turkey,2,2,1,5,2012
39,Lithuania,2,1,2,5,2012
40,Ireland,1,1,3,5,2012
41,Mongolia,0,2,3,5,2012
42,Switzerland,2,2,0,4,2012
43,Norway,2,1,1,4,2012
44,Slovenia,1,1,2,4,2012
45,Argentina,1,1,2,4,2012
46,Serbia,1,1,2,4,2012
47,Trinidad and Tobago,1,1,2,4,2012
48,Slovakia,0,1,3,4,2012
49,Tunisia,1,1,1,3,2012
50,Uzbekistan,1,0,2,3,2012
51,Thailand,0,2,1,3,2012
52,Belgium,0,1,2,3,2012
53,Armenia,0,1,2,3,2012
54,Finland,0,1,2,3,2012
55,Dominican Republic,1,1,0,2,2012
56,Latvia,1,0,1,2,2012
57,Egypt,0,2,0,2,2012
58,Malaysia,0,1,1,2,2012
59,Chinese Taipei,0,1,1,2,2012
60,Indonesia,0,1,1,2,2012
61,Puerto Rico,0,1,1,2,2012
62,Estonia,0,1,1,2,2012
63,Bulgaria,0,1,1,2,2012
64,Greece,0,0,2,2,2012
65,Singapore,0,0,2,2,2012
66,Moldova,0,0,2,2,2012
67,Qatar,0,0,2,2,2012
68,Grenada,1,0,0,1,2012
69,Algeria,1,0,0,1,2012
70,Uganda,1,0,0,1,2012
71,Bahamas,1,0,0,1,2012
72,Venezuela,1,0,0,1,2012
73,Guatemala,0,1,0,1,2012
74,Botswana,0,1,0,1,2012
75,Portugal,0,1,0,1,2012
76,Montenegro,0,1,0,1,2012
77,Cyprus,0,1,0,1,2012
78,Gabon,0,1,0,1,2012
79,Hong Kong,0,0,1,1,2012
80,Saudi Arabia,0,0,1,1,2012
81,Kuwait,0,0,1,1,2012
82,Afghanistan,0,0,1,1,2012
83,Morocco,0,0,1,1,2012
84,Bahrain,0,0,1,1,2012
85,Tajikistan,0,0,1,1,2012
1,United States,36,39,35,110,2008
2,China,51,21,28,100,2008
3,Russia,23,21,29,73,2008
4,Great Britain,19,13,15,47,2008
5,Australia,14,15,17,46,2008
6,Germany,16,10,15,41,2008
7,France,7,16,18,41,2008
8,South Korea,13,10,8,31,2008
9,Italy,8,9,10,27,2008
10,Ukraine,7,5,15,27,2008
11,Japan,9,6,10,25,2008
12,Cuba,2,11,11,24,2008
13,Canada,3,9,7,19,2008
14,Spain,5,10,3,18,2008
15,Belarus,4,5,9,18,2008
16,Netherlands,7,5,4,16,2008
17,Kenya,6,4,5,15,2008
18,Brazil,3,4,8,15,2008
19,Kazakhstan,2,4,7,13,2008
20,Jamaica,6,3,2,11,2008
21,Poland,3,6,1,10,2008
22,Hungary,3,5,2,10,2008
23,Norway,3,5,1,9,2008
24,New Zealand,3,2,4,9,2008
25,Romania,4,1,3,8,2008
26,Ethiopia,4,1,2,7,2008
27,Denmark,2,2,3,7,2008
28,Switzerland,2,1,4,7,2008
29,Turkey,1,3,3,7,2008
30,Azerbaijan,1,2,4,7,2008
31,Czech Republic,3,3,0,6,2008
32,Slovakia,3,2,1,6,2008
33,Georgia,3,0,3,6,2008
34,North Korea,2,1,3,6,2008
35,Argentina,2,0,4,6,2008
36,Uzbekistan,1,2,3,6,2008
37,Armenia,0,0,6,6,2008
38,Slovenia,1,2,2,5,2008
39,Indonesia,1,1,3,5,2008
40,Bulgaria,1,1,3,5,2008
41,Sweden,0,4,1,5,2008
42,Croatia,0,2,3,5,2008
43,Lithuania,0,2,3,5,2008
44,Thailand,2,2,0,4,2008
45,Mongolia,2,2,0,4,2008
46,Zimbabwe,1,3,0,4,2008
47,Finland,1,1,2,4,2008
48,Greece,0,2,2,4,2008
49,Nigeria,0,1,3,4,2008
50,Chinese Taipei,0,0,4,4,2008
51,Mexico,2,0,1,3,2008
52,Latvia,1,1,1,3,2008
53,India,1,0,2,3,2008
54,Ireland,0,1,2,3,2008
55,Austria,0,1,2,3,2008
56,Serbia,0,1,2,3,2008
57,Portugal,1,1,0,2,2008
58,Estonia,1,1,0,2,2008
59,Belgium,1,1,0,2,2008
60,Dominican Republic,1,1,0,2,2008
61,Iran,1,0,1,2,2008
62,Trinidad and Tobago,0,2,0,2,2008
63,Tajikistan,0,1,1,2,2008
64,Algeria,0,1,1,2,2008
65,Colombia,0,1,1,2,2008
66,Kyrgyzstan,0,1,1,2,2008
67,Bahamas,0,1,1,2,2008
68,Morocco,0,1,1,2,2008
69,Panama,1,0,0,1,2008
70,Cameroon,1,0,0,1,2008
71,Tunisia,1,0,0,1,2008
72,Vietnam,0,1,0,1,2008
73,Sudan,0,1,0,1,2008
74,Ecuador,0,1,0,1,2008
75,South Africa,0,1,0,1,2008
76,Malaysia,0,1,0,1,2008
77,Iceland,0,1,0,1,2008
78,Chile,0,1,0,1,2008
79,Singapore,0,1,0,1,2008
80,Mauritius,0,0,1,1,2008
81,Moldova,0,0,1,1,2008
82,Togo,0,0,1,1,2008
83,Egypt,0,0,1,1,2008
84,Israel,0,0,1,1,2008
85,Afghanistan,0,0,1,1,2008
86,Venezuela,0,0,1,1,2008
1,United States,36,39,26,101,2004
2,Russia,28,26,36,90,2004
3,China,32,17,14,63,2004
4,Australia,17,16,17,50,2004
5,Germany,13,16,20,49,2004
6,Japan,16,9,12,37,2004
7,France,11,9,13,33,2004
8,Italy,10,11,11,32,2004
9,South Korea,9,12,9,30,2004
10,Great Britain,9,9,12,30,2004
11,Cuba,9,7,11,27,2004
12,Ukraine,8,5,9,22,2004
13,Netherlands,4,9,9,22,2004
14,Spain,3,11,6,20,2004
15,Romania,8,5,6,19,2004
16,Hungary,8,6,3,17,2004
17,Greece,6,6,4,16,2004
18,Belarus,2,5,6,13,2004
19,Canada,3,6,3,12,2004
20,Bulgaria,2,1,9,12,2004
21,Turkey,3,3,5,11,2004
