"","Country","Total","Population","GDP","GDPgrowth","Life"
"1","Afghanistan",1,26528.741,384.131681276838,3.61136839226168,43.77
"2","Algeria",2,34811.059,4912.25194081995,2.39999999999986,73.52
"3","Argentina",6,40381.86,9999.09351693522,3.07494550317222,76.32
"4","Armenia",6,2975.029,3919.97547381061,6.90000000168239,72.12
"5","Australia",46,21370.348,49628.1151270179,3.70669950604605,80.62
"6","Austria",3,8331.465,51386.3766511975,1.54726383930861,79.21
"7","Azerbaijan",7,8868.713,5574.60380218613,10.7724207826314,65.96
"8","Bahamas",2,348.587,23657.365306222,-2.32393724789044,77.76
"9","Belarus",18,9526.453,6376.17311491284,10.2000000000983,70.05
"10","Belgium",2,10779.155,48424.5892730273,0.747103203848695,78.92
"11","Brazil",15,194769.696,8706.81914190374,5.0937670118105,72.24
"12","Bulgaria",5,7513.646,7296.12247858585,5.64700542878191,72.57
"13","Cameroon",1,19570.418,1191.70955436733,2.88404623386009,52.86
"14","Canada",19,33363.256,46596.3359912609,1.00036097295921,80.34
"15","Chile",1,16645.94,10791.0201852508,3.29245489733295,76.96
"16","China",100,1326690.636,3441.22135457021,9.6233774862006,72.88
"17","Chinese Taipei",4,23040,31900,0.7,77.76
"18","Colombia",2,44901.66,5433.70641243197,3.54680488578106,72.27
"19","Colombia",2,44901.66,5433.70641243197,3.54680488578106,72.27
"20","Croatia",5,4344.151,15893.8605622792,2.05336549993108,74.9
"21","Cuba",24,11290.239,5385.74072701207,4.11682805941373,77.08
"22","Czech Republic",6,10397.984,22649.3793400813,2.71095557125116,76.42
"23","Denmark",7,5495.302,64181.9946654657,-0.717955925971481,77.96
"24","Dominican Republic",2,9636.491,4996.94266349512,3.14371145889541,73.07
"25","Ecuador",1,14447.6,4274.94082062073,6.3571305999083,76.62
"26","Egypt",1,78976.122,2061.61277225263,7.15205103366216,71.57
"27","Estonia",2,1339.941,18094.5473954875,-5.41946351118037,72.3
"28","Ethiopia",7,83079.608,325.794900659893,10.7885216814493,49.23
"29","Finland",4,5314.17,53401.3148725198,0.720668487409924,78.66
